	Distance	Contrast
134	140.2189936333839	1.2216928167986188e-05
135	141.2189936333839	1.2285827394730324e-05
136	142.2189936333839	1.2653921013615262e-05
137	143.2189936333839	1.3316066311329277e-05
138	144.2189936333839	1.4378469921227526e-05
139	145.2189936333839	1.4868710476954723e-05
140	146.2189936333839	1.4996120167306607e-05
141	147.2189936333839	1.4399816255114143e-05
142	148.2189936333839	1.3192859672414295e-05
143	149.2189936333839	1.2035111378006899e-05
144	150.2189936333839	1.1237270984634513e-05
145	151.2189936333839	1.0803297613715788e-05
146	152.2189936333839	1.0661433825378741e-05
147	153.2189936333839	1.064117947999855e-05
148	154.2189936333839	1.0713183512728253e-05
149	155.2189936333839	1.065831876784441e-05
150	156.2189936333839	1.0585708051655508e-05
151	157.2189936333839	1.0587724350355544e-05
152	158.2189936333839	1.049260480392687e-05
